,temperature_mean,max_temperature_mean,min_temperature_mean,precipitation_mean,rain_mean,snow_mean,precipitation_hours_mean,wind_speed_mean,wind_gusts_mean,shortwave_radiation_mean
21/1,4.46652907925,7.002987500000001,1.9104875,1.8125000012499999,1.73499999625,0.06124999925,2.725,23.088879362500002,45.854998675000004,2.964
22/1,4.3672583415,7.055487492500001,1.7242374902499997,2.47749999,2.18999993,0.203,4.35,22.5004419,44.540998887499995,3.1102499999999997
23/1,4.4378314004999995,6.995487525,1.5079875,2.1349999635,2.052499986,0.07350000274999999,3.875,23.273801715,46.6019997625,2.9465000000000003
24/1,4.164497997500001,7.1067374999999995,1.08923749,1.3124999924999998,1.25749999,0.0455000025,2.575,21.863685359999998,42.54299905,3.5564999999999998
25/1,4.3899146165,7.292987525000001,1.4892375000000002,1.52249998875,1.5124999899999998,0.00875,3.175,23.426893512499998,46.6829987,3.3512499999999994
26/1,4.1014771955,6.8317375175,1.1992375,2.3250000145,2.1825000369999996,0.09975,4.325,23.0503743375,46.0349987875,3.50875
27/1,4.24981040925,7.2054874925000005,1.3854875,1.4475000175,1.4375000175000001,0.007000000000000001,3.175,22.873935875,44.594999425,3.3
28/1,4.5577270507500005,7.237987524999999,1.7067375000000002,1.1050000087499998,1.02750001125,0.05425,3.175,24.773861375,48.38399855,3.60325
29/1,4.88918538525,7.3567374999999995,2.0529875,1.8500000325000001,1.7500000125,0.06999999999999999,3.75,22.55504315,44.5139993,3.0625
30/1,4.189966642,6.694237490000001,1.8204875,1.00249998825,0.96999998875,0.0227500005,2.85,21.5971117,42.488998949999996,3.8822500000000004
31/1,4.310956339500001,7.0517375,1.5329875000000002,1.8875000585000001,1.715000031,0.1207500075,3.25,23.977729349999997,47.663998899999996,3.3510000000000004
1/2,4.490070831125,6.959237525000001,2.0467375,2.2475000824999998,1.8750000329999998,0.26949998525,3.925,23.5324745,46.997999575,3.71725
2/2,4.31788332725,6.9317375,1.4217375,1.15250004125,0.950000016,0.1469999875,2.9,22.867573725,45.35999895,4.4285
3/2,4.40241458825,7.4392375,1.32298749,1.9174999200000002,1.8749999225,0.0350000075,2.9,22.6253215925,44.2529992,4.108
4/2,5.315070809,8.08548749,2.297987500075,1.7824999635,1.6824999559999998,0.0735000005,3.225,24.635059375000004,47.987999175000006,4.0055
5/2,5.413404212500001,8.0929874925,2.9504875,1.6475000174999999,1.3325000030999998,0.23100000774999999,3.2,23.476144575,47.150998425,4.321
6/2,5.506997997975001,7.96673749,2.9092374899999998,2.31750006125,2.01250005875,0.22749998749999997,5.2,24.857650895,48.545998475,4.16675
7/2,4.7081437694999995,7.5217375,1.6542374925,1.6049999700000002,1.46249997,0.120750007,3.35,24.85393307,49.68899946250001,4.5515
8/2,4.34918541925,7.3467374925,1.2379874999999998,2.05000004475,1.6675000675,0.27999999,4.05,24.920843925,49.454998375,4.683999999999999
9/2,4.06751877975,6.780487500000001,1.3017374927499998,1.800000072,1.6100000495,0.15400000275,3.5,23.534904325000003,46.214999225,4.806749999999999
10/2,3.8824667427499997,6.952987525,0.7454875000000001,2.14000001375,1.912500013,0.17325000399999996,4.3,22.9782985875,45.4139992875,4.76275
11/2,4.296633338,7.372987499999999,1.6992375,1.8150000112500002,1.6325000395,0.13125000025,4.075,21.6451318625,43.163998925,4.88875
12/2,4.51428963825,7.419237514999999,1.5004875,2.05250005625,1.93250005625,0.08750000025,3.8,22.13528445,45.242998899999996,4.76425
13/2,3.9223624883749997,6.76673749,0.8979874999999999,1.3825000087500001,1.33750001125,0.04200000025,4.025,23.0735674625,45.278998975,5.23575
14/2,3.6474145251249994,6.942987499999999,0.3354875,1.4124999900000001,1.4024999900000001,0.029750000000000006,3.075,21.444978595,42.0209992375,5.35775
15/2,4.33783124885,7.5717375,1.0804875004999999,0.9125000024999999,0.8575000024999999,0.049000005,1.975,22.623087275,44.171999025,6.14225
16/2,4.064758240000001,7.1454875,1.3342374925000002,0.7799999925,0.7799999925,0.0,1.525,19.385180400000003,39.104998975,6.14025
17/2,4.363820896,7.717987525,1.2179874925000003,0.89249998375,0.8249999899999999,0.052500002000000004,2.175,19.2324353125,38.303999175,6.0445
18/2,4.437674927600001,7.755487525000001,1.4392375000000002,0.7974999925,0.7824999925,0.0227499995,2.425,20.150734415,40.535999125,6.22925
19/2,4.3306958420249995,7.3442375,1.3342375,1.097500015,1.0725000125000002,0.01750000125,2.575,22.2689304,44.207999325,5.84425
20/2,4.493925073000001,7.392987525,1.5304875175,0.5650000050000001,0.5425000025,0.01925,1.625,21.853307087500003,43.6679988,6.0165
21/2,4.7016332825,7.862987524999999,1.7579875,0.8474999925000001,0.7974999925,0.04025,2.675,22.0217263125,43.74899945,6.705
22/2,4.6469978562500005,7.5979875,1.7354874905,1.8374999735,1.5475000134999999,0.220500002,4.425,23.545862275,46.6739986,5.29525
23/2,4.9464249142500005,7.955487500000001,2.1542375,0.71999998375,0.68499998425,0.033250000749999994,2.425,23.33437885,47.096998775,6.45925
24/2,5.0347064146500005,8.070487499999999,2.2392374999999998,1.4299999625,1.3974999675,0.027999999249999998,3.0,20.9932942325,42.03899955000001,6.06675
25/2,4.662935486375,7.7942374999999995,1.647987493,1.5000000175000001,1.455000015,0.0314999995,3.4,21.07460401,42.254998525,6.539750000000001
26/2,5.141581235249999,8.4942375,1.7554875000000003,1.5849999599999998,1.549999955,0.026250000000000002,3.45,24.4143461,48.62699884999999,6.991
27/2,5.234445808399999,8.4604875,2.0904875,1.5799999685,1.5449999675000001,0.0245,3.125,23.2450974575,46.3229994,6.82975
28/2,5.17121672735,8.0942375,2.50798749,1.9374999809999998,1.80000000975,0.09800000700000001,4.225,24.7559975675,49.382998674999996,6.5735
29/2,5.06729163,8.645,1.7499999999999996,1.3600000099999998,1.33000001,0.021000000999999997,2.6,21.16747445,41.9759978,7.299000000000001
1/3,5.156424989875001,8.154237500075,2.1229875,1.4550000125,1.1825000225,0.1995000065,4.425,24.06227796,48.89699937499999,7.0815
2/3,4.79038329525,8.035487499999999,1.3892375000000001,2.0125000272499998,1.63249998125,0.26599999,4.45,26.059108025,51.065997975,7.8655
3/3,4.9127270179249996,8.097987525,1.6804875250000002,1.7425000112500002,1.6600000062500002,0.0595,4.5,25.3007914,51.776999124999996,7.597999999999999
4/3,4.6434041100000005,8.281737525,0.8117374925,1.56499997,1.44999997,0.08925000250000001,3.45,21.819124625,44.783999300000005,7.555750000000001
5/3,5.2879353775,9.1829875,1.4517374925,0.9599999825000001,0.95499998,0.0035000000000000005,2.35,21.2189437,42.749998825,8.099
6/3,6.2415811175,9.7067375,2.9529875,1.3475000162500002,1.31000001125,0.02625000025,3.425,21.61545635,43.604999025,7.90325
7/3,6.41303957425,9.555487525,3.4204875,2.04000002625,1.88750002575,0.11199999249999999,4.35,23.27027195,45.647999074999994,7.4125
8/3,6.582154128499999,9.8704875,3.2817374999999998,1.3599999749999998,1.3324999725,0.0227499995,3.125,21.8554687375,43.8389989,7.66775
9/3,6.7368935925,9.97798755,3.3754874927499996,1.219999976,1.219999976,0.0,2.625,22.340622474999996,45.710998575000005,8.440000000000001
10/3,6.834810530000001,10.336737525,3.2879875,1.7724999112500002,1.7724999112500002,0.0035000000000000005,3.725,24.07785809,47.987999075,7.7612499999999995
11/3,6.542154163499999,10.212987524999999,2.89048749,0.6450000062499999,0.62750000625,0.02800000025,1.875,20.8951692125,42.092999199999994,8.983500000000001
12/3,6.548143810499999,10.2092375,3.0292375,1.4250000374999998,1.3500000799999998,0.059500002499999996,3.8,21.096812817500002,42.9299993,8.99875
13/3,6.3986645707499985,9.886737525000001,3.06423749,0.8900000185,0.8900000185,0.0017500000000000003,2.5,20.7408059475,41.9219995,9.3155
14/3,6.5456438225,10.389237525000002,2.799237485,1.18000001875,1.16500001875,0.0105000005,2.8,21.999797219999998,44.531999225,9.6195
15/3,7.276216865,10.955487524999999,3.6417374899999997,1.55000000375,1.53250000375,0.014000000000000002,3.2,21.5619068425,43.586999375,9.1565
16/3,7.180435435,10.5467375,4.0517374825,1.8425000362500001,1.8000000387500001,0.0315000025,3.8,21.299748062499997,43.109999025,9.312000000000001
17/3,6.974602067499999,10.5917374925,3.6804874999999995,1.51250002125,1.36250003375,0.10500002,4.45,20.3050778,41.174999400000004,9.544
18/3,6.659237420625,10.240487499999999,3.026737525,1.6399999310000002,1.5174999560000002,0.0875000075,4.45,23.2596822625,46.412999225,9.589
19/3,6.42486260525,10.114237524999998,2.9729875,0.88500001725,0.8825000172500002,0.0017500000000000003,2.6,21.5005224075,43.46099895,9.82225
20/3,6.59897707325,10.164237515,3.0717374925,1.3725000012500002,1.17500000125,0.13999999999999999,2.9,22.38728575,44.8199992,9.183499999999999
21/3,6.666424974999998,10.134237500000001,3.1054874900000002,1.2125000199999998,1.1649999924999999,0.043750002,3.325,21.837334565,44.828998825,10.02275
22/3,6.8232479675,10.4917375,3.0217375000000004,1.467499986,1.4100000025,0.0420000005,4.05,21.5176509125,43.6499991875,10.076
23/3,7.11439375,10.970487499999999,3.1304875,1.802499967,1.6524999645,0.1119999975,4.5,22.2226203,46.286998825,10.173
24/3,7.2297064016,10.6867375,3.9254874900000005,1.9775000249999999,1.9750000499999998,0.02275,4.25,22.896077825,46.844998475,10.347249999999999
25/3,7.1071543342500005,10.8342375,3.3217375000000002,1.6474999484999997,1.6474999484999997,0.0,4.175,21.2803026825,43.397999049999996,11.090250000000001
26/3,7.032779132499999,10.699237525000001,3.4517374925,1.6874999737499998,1.6874999737499998,0.0017500000000000003,4.2,21.873386149999998,44.9009997,10.97775
27/3,7.2407479100000005,11.292987525000001,3.2704874824999997,1.2924999849999999,1.2924999849999999,0.0,3.325,21.4728173,44.918999187500006,12.0795
28/3,7.280018807499999,11.4342375,3.2117375000000004,1.9875000374999998,1.9375000375,0.03675,4.225,22.680677099999997,47.2139988375,11.138750000000002
29/3,7.51231048775,11.437987525,3.5192375,1.9799999462499998,1.9774999537499998,0.0017500000000000003,4.95,20.93029225,43.136999037500004,11.354750000000001
30/3,7.9609042425,11.9579875,3.8242375,2.1350000225,2.1275000225,0.005250000249999999,4.6,21.1723670875,42.569998874999996,11.3425
31/3,8.166216780000001,11.8717375,4.4254875,1.3025,1.3025,0.0,3.15,20.834915849999998,42.587999275,11.44225
1/4,8.219237575,12.179237517499999,4.2267375000000005,2.11250004,2.09750004,0.0105,3.55,22.97990055,46.691998775,12.55825
2/4,8.40663349,12.417987525,4.6242374900000005,1.90749998,1.90749998,0.0,4.225,20.560755387500002,43.34399955,13.003
3/4,7.741268895,11.695487525,3.6979875,1.7799999025000002,1.7574999009999999,0.017499999999999998,4.225,21.0385380125,42.857998525,12.5965
4/4,7.457727005,11.0642375,3.8692374850000006,2.1924999625,2.0449999450000003,0.10675000175,4.95,23.1680452,47.087999275,12.41175
5/4,7.5789771475,11.566737524999999,3.71798749,1.3749999962500001,1.30500004625,0.049,2.925,21.592255482499997,44.57699905,13.257
6/4,7.753352169999999,11.542987499999999,4.06673748,1.2274999975,1.1599999975,0.04725,3.8,22.515477249999996,45.224998925,12.524750000000001
7/4,7.760904182500001,11.7929875,3.8804874999999996,1.94500003375,1.93750003625,0.00525,4.375,20.402159275,42.425999000000004,12.74075
8/4,7.911945917500001,12.127987525,3.6579875,1.1750000475,1.1750000475,0.0,3.125,18.7624197575,39.788999149999995,14.19125
9/4,7.977570804999999,12.186737500000001,3.4904874899999996,1.9175000175,1.9050000125,0.00875000025,4.55,17.500064015,36.062999274999996,13.6655
10/4,8.5013209175,12.6992375,4.1217374925,1.2274999935,1.2000000035,0.01925,3.525,20.3085228,41.381999525000005,15.125
11/4,8.452310452499999,12.3279875,4.5267375,1.8999999175,1.8999999175,0.0,4.075,19.986096925,41.7149988875,12.922
12/4,8.0889250425,12.2054875,3.84173749,1.4674999862499998,1.43750001125,0.02100000075,3.825,19.1250287625,39.725999224999995,14.4695
13/4,7.922414474999999,12.0479875,3.6367374999999997,1.21250001,1.21250001,0.0,3.15,19.2053322875,40.958998725,14.963
14/4,8.488612674999999,12.7329875,4.3429874825,1.0149999675,0.9850000025,0.020999999999999998,2.8,18.8228493375,38.600999075,14.388750000000002
15/4,8.7868417225,13.336737525,4.0979874899999995,1.7399999147499998,1.6399999647499997,0.06999999999999999,3.925,18.9641087625,39.203999175,15.320250000000001
16/4,9.0432480125,13.39923755,4.471737500000001,1.0574999975000001,1.0574999975000001,0.0,3.05,18.383843725000002,37.655998999999994,15.316000000000003
17/4,8.9481958875,13.0029875,4.6342375,1.08499999,1.08499999,0.0,3.175,19.8962275125,40.499999275,15.105250000000002
18/4,8.880487625,12.921737525000001,4.650487525,1.8974999775,1.8774999774999999,0.014000000000000002,4.3,21.589828675,43.775999275000004,15.23475
19/4,8.86772717,13.029237525,4.7117375,1.23500002,1.2325000300000002,0.0017500000000000003,3.85,18.72542225,38.33099935,15.299000000000001
20/4,9.1152271625,13.4279875,4.4829875,1.767500055,1.767500055,0.0,3.8,19.892753775,41.777999324999996,15.777249999999999
21/4,9.8829874075,14.692987499999997,4.786737499999999,0.82000002125,0.82000002125,0.0,2.1,19.582181875,40.7969992,17.0
22/4,10.205591495000002,14.570487525,5.6242375000000004,1.51250003,1.51250003,0.0,3.475,18.9199695375,39.14999924999999,16.2335
23/4,10.13085218,14.3904875,5.97048748,1.54749997,1.54749997,0.0,4.275,18.0090453575,38.09699915,16.095
24/4,10.2116335275,14.575487525,5.6829875175,1.4000000335,1.3925000084999999,0.005250000249999999,3.925,19.7490502475,40.5899992,15.876999999999999
25/4,10.3433000375,14.471737525,6.259237489999999,2.94999994,2.8624999650000005,0.061250000000000006,5.625,19.50315815,40.931998875,15.477500000000001
26/4,10.04850861,14.270487500000002,5.7704874925,2.28499994375,2.10249994375,0.12775,5.45,20.5443873125,43.253999,16.546
27/4,9.8542376225,13.8654875,5.9404874825,2.1899999625,2.1899999625,0.0,5.175,20.6235480875,41.561998900000006,16.0785
28/4,9.784653985,13.8654875,5.5467374825,1.8525000225,1.8525000225,0.0,4.375,20.8475242,42.8489989,16.544500000000003
29/4,10.1422064625,14.157987549999998,6.0379875,2.0749999425,2.0749999425,0.0,4.575,20.1846215625,41.723999199999994,15.55725
30/4,10.6698103375,14.747987525,6.256737492499999,1.7100000424999997,1.7100000424999997,0.0,3.75,20.474040324999997,41.039998925,16.24275
1/5,10.9742895825,15.094237500000002,6.694237490000001,2.125000116,2.125000116,0.0,4.9,20.5204125,41.7779993,17.27675
2/5,10.581060557499999,14.702987524999998,6.2779874824999995,1.48250003375,1.48250003375,0.0,3.925,21.66015705,44.81099917499999,17.111
3/5,10.244550035,14.3029875,5.9392375,1.23749997475,1.23749997475,0.0,2.975,20.3026913375,41.37299925,16.4235
4/5,10.498977267499999,14.670487524999999,6.1917374899999995,1.1624999500000002,1.1624999500000002,0.0,2.675,20.023976850000004,41.867999499999996,17.511000000000003
5/5,10.92788354,15.219237500000002,6.111737482500001,0.7774999874999999,0.7774999874999999,0.0,2.3,19.21286705,39.25799885,17.49275
6/5,11.5381958775,15.907987499999999,7.020487489999999,0.8500000149999998,0.8500000149999998,0.0,2.1,18.9124424825,39.077999025,17.99725
7/5,11.6874145275,16.086737525,7.079237474999999,1.3650000012499999,1.3650000012499999,0.0,4.025,19.7874737375,41.822998674999994,18.3625
8/5,11.6813207675,15.784237575,7.431737517499999,1.9774999774999997,1.9774999774999997,0.0,3.95,20.66776137,43.3169989,17.310750000000002
9/5,11.592050215,15.620487500000001,7.2017374825000005,1.4749999900000001,1.4749999900000001,0.0,3.525,19.896117825,41.47199915,16.32
10/5,11.88835187,15.826737499999998,7.8117374900000005,2.079999962,2.079999962,0.0,4.625,19.5522943975,41.56199915,17.4065
11/5,11.8375187125,15.907987499999999,7.5667374825,1.0774999600000001,1.0774999600000001,0.0,3.15,21.56962785,44.486999175,18.00575
12/5,11.945799825,16.075487525,7.661737500000001,1.7599999325,1.7599999325,0.0,3.7,21.6807532125,44.801998624999996,18.3795
13/5,12.107050045,16.3667375,7.546737500000001,1.2749999124999998,1.2749999124999998,0.0,2.85,19.858867275,41.01299925,19.22725
14/5,12.0413208875,15.969237500000002,7.934237525,2.27500008375,2.27500008375,0.0,3.875,19.845425325,41.237999,17.9195
15/5,12.146893585,16.386737525,7.474237499999998,1.7425000099999999,1.7425000099999999,0.0,3.775,19.1226057,39.7979992,18.5625
16/5,12.2689768625,16.454237525000003,7.747987499999999,1.7700000734999999,1.7700000734999999,0.0,3.4,18.9688503375,38.636999474999996,17.6995
17/5,12.149497637500001,15.982987549999999,7.922987525000001,2.8949999675,2.8949999675,0.0,5.35,19.9896521,42.002998875,15.95575
18/5,12.250331370000001,16.01673755,8.386737525,1.8475000000000001,1.8424999900000003,0.0035000000000000005,3.8,19.124052975,39.464999399999996,16.3845
19/5,12.73543525,16.862987499999996,8.196737514999999,1.03499998375,1.03499998375,0.0,3.05,17.4508033,38.240999224999996,18.82375
20/5,12.881372900000002,16.694237525,8.7242375,2.3600000025,2.3600000025,0.0,4.65,17.6859910425,37.340999075,16.23775
21/5,12.9681961125,16.8104875,8.80423749,2.26999988875,2.26999988875,0.0,4.25,19.231050292499997,40.544998975000006,16.84725
22/5,12.956529487500001,16.850487499999996,8.760487525,1.692499955,1.692499955,0.0,3.575,20.007268699999997,42.011999225,18.4095
23/5,13.451581512499999,17.4829875,8.910487524999999,0.9150000199999999,0.9150000199999999,0.0,2.75,19.004131875000002,39.2939997,18.34625
24/5,13.8067897125,18.0404875,9.4167375,1.6950000047499998,1.6950000047499998,0.0,3.375,19.7853116625,41.15699909999999,18.67625
25/5,13.674810525000002,17.700487525,9.445487499999999,1.2675000519999997,1.2675000519999997,0.0,3.175,18.732255375,38.672998975,19.1085
26/5,13.5336121,17.345487525,9.3142375,3.9750000225000006,3.9750000225000006,0.0,6.35,19.838548725,40.98599915,16.9355
27/5,13.1996019125,17.001737525,9.039237525,3.210000006,3.210000006,0.0,5.1,19.688907824999998,40.130998950000006,16.97775
28/5,13.2668416625,16.909237525,9.235487525,2.37000001,2.37000001,0.0,4.05,19.412790362499997,40.17599915,17.19725
